name,price,currency,currencySymbol,currencyCode,country,description
Safetch Level 3 Award in Scaffold Inspector & Supervisor,12.00,GBP,£,GBP,United Kingdom,Safetch Level 3 Award in Scaffold Inspector & Supervisor
Safetch Level 3 in Scaffolding Safety,8.00,GBP,£,GBP,United Kingdom,Safetch Level 3 in Scaffolding Safety
Safetch Level 4 in Scaffold Safety,14.00,GBP,£,GBP,United Kingdom,Safetch Level 4 in Scaffold Safety
Safetch Level 4 Award in Advanced Scaffold Design & Planning,16.00,GBP,£,GBP,United Kingdom,Safetch Level 4 Award in Advanced Scaffold Design & Planning
Scaffolding Supervisor,12.00,GBP,£,GBP,United Kingdom,Scaffolding Supervisor
"Safe Scaffold Erection, Dismantling and Modification",10.00,GBP,£,GBP,United Kingdom,"Safe Scaffold Erection, Dismantling and Modification"
Scaffolding Erector,8.00,GBP,£,GBP,United Kingdom,Scaffolding Erector
Scaffolding Inspector,12.00,GBP,£,GBP,United Kingdom,Scaffolding Inspector
Award in Scaffolding Supervisor,12.00,GBP,£,GBP,United Kingdom,Award in Scaffolding Supervisor
Award in Scaffolding Safety Awareness,7.00,GBP,£,GBP,United Kingdom,Award in Scaffolding Safety Awareness
Scaffolding Training for Erection & Dismantling,10.00,GBP,£,GBP,United Kingdom,Scaffolding Training for Erection & Dismantling
Scaffolding Safety Awareness,7.00,GBP,£,GBP,United Kingdom,Scaffolding Safety Awareness
Scaffold Towering and Code Practices,7.00,GBP,£,GBP,United Kingdom,Scaffold Towering and Code Practices
Scaffolding Supervisor,12.00,GBP,£,GBP,United Kingdom,Scaffolding Supervisor
"Safe Scaffolding Erection, Dismantling & Modification",8.00,GBP,£,GBP,United Kingdom,"Safe Scaffolding Erection, Dismantling & Modification"
Scaffolding Erector,7.00,GBP,£,GBP,United Kingdom,Scaffolding Erector
Scaffolding for Manager,12.00,GBP,£,GBP,United Kingdom,Scaffolding for Manager
Level 1 Ergonomics,4.00,GBP,£,GBP,United Kingdom,Level 1 Ergonomics
Level 2 Award in Emergency Response,7.00,GBP,£,GBP,United Kingdom,Level 2 Award in Emergency Response
Level 2 Award in Manual Handling Principles and Practices,7.00,GBP,£,GBP,United Kingdom,Level 2 Award in Manual Handling Principles and Practices
International Managing Safely,10.00,GBP,£,GBP,United Kingdom,International Managing Safely
Job Safety Analysis,7.00,GBP,£,GBP,United Kingdom,Job Safety Analysis
Occupational Health Protection and Infection Prevention,8.00,GBP,£,GBP,United Kingdom,Occupational Health Protection and Infection Prevention
HSE Supervisions,8.00,GBP,£,GBP,United Kingdom,HSE Supervisions
Person In Charge of Work,8.00,GBP,£,GBP,United Kingdom,Person In Charge of Work
LOTO Supervisor,10.00,GBP,£,GBP,United Kingdom,LOTO Supervisor
Internal Permit to Work Issuer,8.00,GBP,£,GBP,United Kingdom,Internal Permit to Work Issuer
Internal Work Permit Issuer,8.00,GBP,£,GBP,United Kingdom,Internal Work Permit Issuer
Safe Work Procedure,7.00,GBP,£,GBP,United Kingdom,Safe Work Procedure
Lockout & Tagout,7.00,GBP,£,GBP,United Kingdom,Lockout & Tagout
LOTO Certified,12.00,GBP,£,GBP,United Kingdom,LOTO Certified
Hazard Communication,8.00,GBP,£,GBP,United Kingdom,Hazard Communication
Hazcom Program,7.00,GBP,£,GBP,United Kingdom,Hazcom Program
Hydrogen Sulphide (H2S) Awareness,7.00,GBP,£,GBP,United Kingdom,Hydrogen Sulphide (H2S) Awareness
Safe Work Permit System,7.00,GBP,£,GBP,United Kingdom,Safe Work Permit System
Flagman Safety Training,7.00,GBP,£,GBP,United Kingdom,Flagman Safety Training
Office Safety and Ergonomics,7.00,GBP,£,GBP,United Kingdom,Office Safety and Ergonomics
Safetech Level 2 in Basic Electrical Safety,7.00,GBP,£,GBP,United Kingdom,Safetech Level 2 in Basic Electrical Safety
Safetch Level 3 Award in Advanced Electrical Safety and Protection,8.00,GBP,£,GBP,United Kingdom,Safetch Level 3 Award in Advanced Electrical Safety and Protection
Safetch Level 4 Award in Electrical Safety Management,18.00,GBP,£,GBP,United Kingdom,Safetch Level 4 Award in Electrical Safety Management
Electrical Safe Work Practices,8.00,GBP,£,GBP,United Kingdom,Electrical Safe Work Practices
Electrical Safety Awareness,8.00,GBP,£,GBP,United Kingdom,Electrical Safety Awareness
Safetch Award in Advanced Electrical Safety for Engineers,10.00,GBP,£,GBP,United Kingdom,Safetch Award in Advanced Electrical Safety for Engineers
Safetch Award in Electrical Safety for Managers,13.00,GBP,£,GBP,United Kingdom,Safetch Award in Electrical Safety for Managers
Award in Electrical Safety for Supervisors & Technicians,8.00,GBP,£,GBP,United Kingdom,Award in Electrical Safety for Supervisors & Technicians
Award in Electrical Safety for Workers,7.00,GBP,£,GBP,United Kingdom,Award in Electrical Safety for Workers
Work Permit Receiver,10.00,GBP,£,GBP,United Kingdom,Work Permit Receiver
QA/QC Inspector in Electrical,27.00,GBP,£,GBP,United Kingdom,QA/QC Inspector in Electrical
QC/QC Electrical Inspector,27.00,GBP,£,GBP,United Kingdom,QC/QC Electrical Inspector
Emergency Response to a Powerline Incident,7.00,GBP,£,GBP,United Kingdom,Emergency Response to a Powerline Incident
ARC Flash Safety,13.00,GBP,£,GBP,United Kingdom,ARC Flash Safety
Arc Flash Coordinator,12.00,GBP,£,GBP,United Kingdom,Arc Flash Coordinator
Electrical Hazard Recognition,7.00,GBP,£,GBP,United Kingdom,Electrical Hazard Recognition
Radiation Protection Safety Awareness,7.00,GBP,£,GBP,United Kingdom,Radiation Protection Safety Awareness
Electrical Safety,8.00,GBP,£,GBP,United Kingdom,Electrical Safety
Award in Electrical Safety Awareness,18.00,GBP,£,GBP,United Kingdom,Award in Electrical Safety Awareness
Award in Electrical Safe Work Practices,23.00,GBP,£,GBP,United Kingdom,Award in Electrical Safe Work Practices
Certified Quality Manager,27.00,GBP,£,GBP,United Kingdom,Certified Quality Manager
Award in Certified Safety Manager (CSM),36.00,GBP,£,GBP,United Kingdom,Award in Certified Safety Manager (CSM)
Award in Certified Safety Officer (CSO),32.00,GBP,£,GBP,United Kingdom,Award in Certified Safety Officer (CSO)
Award in Certified Safety Engineer (CSE),36.00,GBP,£,GBP,United Kingdom,Award in Certified Safety Engineer (CSE)
Award in Certified Safety Supervisor (CSS),36.00,GBP,£,GBP,United Kingdom,Award in Certified Safety Supervisor (CSS)
Award in Certified Safety Trainer (CST),32.00,GBP,£,GBP,United Kingdom,Award in Certified Safety Trainer (CST)
Award in Certified Environmental Manager (CEM),36.00,GBP,£,GBP,United Kingdom,Award in Certified Environmental Manager (CEM)
Award in Certified Rig Safety Officer (RSO),36.00,GBP,£,GBP,United Kingdom,Award in Certified Rig Safety Officer (RSO)
Award in Certified Rig Safety Superviser (RSS),36.00,GBP,£,GBP,United Kingdom,Award in Certified Rig Safety Superviser (RSS)
Award in Certified Rig Safety Engineer (RSE),36.00,GBP,£,GBP,United Kingdom,Award in Certified Rig Safety Engineer (RSE)
Certified Procurement Professional,36.00,GBP,£,GBP,United Kingdom,Certified Procurement Professional
Certified Security Manager,36.00,GBP,£,GBP,United Kingdom,Certified Security Manager
Certified Security Management Professional,36.00,GBP,£,GBP,United Kingdom,Certified Security Management Professional
Environmental Specialist,27.00,GBP,£,GBP,United Kingdom,Environmental Specialist
Certified Safety Manager,36.00,GBP,£,GBP,United Kingdom,Certified Safety Manager
Certified Safety Professional,23.00,GBP,£,GBP,United Kingdom,Certified Safety Professional
Register Safety Manager,23.00,GBP,£,GBP,United Kingdom,Register Safety Manager
Certified Health Safety Manager,18.00,GBP,£,GBP,United Kingdom,Certified Health Safety Manager
Level 2 Award in Basic Road & Transport Safety,7.00,GBP,£,GBP,United Kingdom,Level 2 Award in Basic Road & Transport Safety
Level 2 in Traffic Management,10.00,GBP,£,GBP,United Kingdom,Level 2 in Traffic Management
Level 3 in Traffic Management,18.00,GBP,£,GBP,United Kingdom,Level 3 in Traffic Management
Level 3 Award in Road & Transport Safety,8.00,GBP,£,GBP,United Kingdom,Level 3 Award in Road & Transport Safety
Defensive Driving,7.00,GBP,£,GBP,United Kingdom,Defensive Driving
Journey Management Off Road Driving,7.00,GBP,£,GBP,United Kingdom,Journey Management Off Road Driving
Off Road Defensive Driving,7.00,GBP,£,GBP,United Kingdom,Off Road Defensive Driving
Saftech Award in Road Safety Leadership and Management,8.00,GBP,£,GBP,United Kingdom,Saftech Award in Road Safety Leadership and Management
Safetech Qualification in  Workplace Transport Safety,7.00,GBP,£,GBP,United Kingdom,Safetech Qualification in  Workplace Transport Safety
Certified Master Trainer,23.00,GBP,£,GBP,United Kingdom,Certified Master Trainer
Work at Height Train The Trainer,23.00,GBP,£,GBP,United Kingdom,Work at Height Train The Trainer
Train the Trainer in Scaffolding,23.00,GBP,£,GBP,United Kingdom,Train the Trainer in Scaffolding
Hydrogen Sulfide (H2S) Train the Trainer,23.00,GBP,£,GBP,United Kingdom,Hydrogen Sulfide (H2S) Train the Trainer
Train The Trainer First Aid,23.00,GBP,£,GBP,United Kingdom,Train The Trainer First Aid
Train the Trainer in COSHH,23.00,GBP,£,GBP,United Kingdom,Train the Trainer in COSHH
Train The Trainer in Fire Safety,23.00,GBP,£,GBP,United Kingdom,Train The Trainer in Fire Safety
Train The Trainer in Lifting & Rigging,23.00,GBP,£,GBP,United Kingdom,Train The Trainer in Lifting & Rigging
Defensive Driving Train the Trainer,23.00,GBP,£,GBP,United Kingdom,Defensive Driving Train the Trainer
Incident Investigation Train the Trainer,23.00,GBP,£,GBP,United Kingdom,Incident Investigation Train the Trainer
Accident Investigation Train the Trainer,23.00,GBP,£,GBP,United Kingdom,Accident Investigation Train the Trainer
Air Hoist Operator Train the Trainer,23.00,GBP,£,GBP,United Kingdom,Air Hoist Operator Train the Trainer
Asbestos Awareness Train the Trainer,23.00,GBP,£,GBP,United Kingdom,Asbestos Awareness Train the Trainer
Authorized Gas Testing Train the Trainer,23.00,GBP,£,GBP,United Kingdom,Authorized Gas Testing Train the Trainer
Basic Fire Fighting Train the Trainer,23.00,GBP,£,GBP,United Kingdom,Basic Fire Fighting Train the Trainer
Basic First Aid & CPR Train the Trainer,23.00,GBP,£,GBP,United Kingdom,Basic First Aid & CPR Train the Trainer
Confined Space Entry Inspection Train the Trainer,23.00,GBP,£,GBP,United Kingdom,Confined Space Entry Inspection Train the Trainer
Emergency Response Leader Train the Trainer,23.00,GBP,£,GBP,United Kingdom,Emergency Response Leader Train the Trainer
Fall Protection Train the Trainer,23.00,GBP,£,GBP,United Kingdom,Fall Protection Train the Trainer
Fire Warden Train the Trainer,23.00,GBP,£,GBP,United Kingdom,Fire Warden Train the Trainer
Fire Fighting Team Leader Train the Trainer,23.00,GBP,£,GBP,United Kingdom,Fire Fighting Team Leader Train the Trainer
Forklift Safety Train the Trainer,23.00,GBP,£,GBP,United Kingdom,Forklift Safety Train the Trainer
H2S & SCBA Train the Trainer,23.00,GBP,£,GBP,United Kingdom,H2S & SCBA Train the Trainer
Hazard Recognition Train the Trainer,23.00,GBP,£,GBP,United Kingdom,Hazard Recognition Train the Trainer
HAZCOM Train the Trainer,23.00,GBP,£,GBP,United Kingdom,HAZCOM Train the Trainer
Lockout / Tagout Train the Trainer,23.00,GBP,£,GBP,United Kingdom,Lockout / Tagout Train the Trainer
Manual Handling Train the Trainer,23.00,GBP,£,GBP,United Kingdom,Manual Handling Train the Trainer
Permit To Work Train the Trainer,23.00,GBP,£,GBP,United Kingdom,Permit To Work Train the Trainer
Respiratory Protection Train the Trainer,23.00,GBP,£,GBP,United Kingdom,Respiratory Protection Train the Trainer
Safety Officer Train the Trainer,23.00,GBP,£,GBP,United Kingdom,Safety Officer Train the Trainer
Scaffolding Safety Train the Trainer,23.00,GBP,£,GBP,United Kingdom,Scaffolding Safety Train the Trainer
Spill Prevention Train the Trainer,23.00,GBP,£,GBP,United Kingdom,Spill Prevention Train the Trainer
Safety Harness Train the Trainer,23.00,GBP,£,GBP,United Kingdom,Safety Harness Train the Trainer
HAZOP Train the Trainer,23.00,GBP,£,GBP,United Kingdom,HAZOP Train the Trainer
Safety Harness Train the Trainer,23.00,GBP,£,GBP,United Kingdom,Safety Harness Train the Trainer
Emergency Rescue Train The Trainer,23.00,GBP,£,GBP,United Kingdom,Emergency Rescue Train The Trainer
Chemical Hazard Awareness Train The Trainer,23.00,GBP,£,GBP,United Kingdom,Chemical Hazard Awareness Train The Trainer
HSE Train The Trainer,23.00,GBP,£,GBP,United Kingdom,HSE Train The Trainer
Train the Trainer,23.00,GBP,£,GBP,United Kingdom,Train the Trainer
Emergency Response Train the Trainer,23.00,GBP,£,GBP,United Kingdom,Emergency Response Train the Trainer
Train the Trainer Accident Investigation,23.00,GBP,£,GBP,United Kingdom,Train the Trainer Accident Investigation
Train the Trainer Lifting Planner,23.00,GBP,£,GBP,United Kingdom,Train the Trainer Lifting Planner
Safetch Level 1 Award in Health and Safety at Work Place,4.00,GBP,£,GBP,United Kingdom,Safetch Level 1 Award in Health and Safety at Work Place
Safetech Level 1 Award in Health and Safety at WorkPlace,4.00,GBP,£,GBP,United Kingdom,Safetech Level 1 Award in Health and Safety at WorkPlace
Safetech Level 1 Award in Health & Safety at Workplace,4.00,GBP,£,GBP,United Kingdom,Safetech Level 1 Award in Health & Safety at Workplace
Safetch Level 2 Award in Health & Safety at Workplace,7.00,GBP,£,GBP,United Kingdom,Safetch Level 2 Award in Health & Safety at Workplace
Safetch Level 2 Award in Health and Safety,7.00,GBP,£,GBP,United Kingdom,Safetch Level 2 Award in Health and Safety
Safetech Level 3 Award in Effective Auditing & Inspection Skills,12.00,GBP,£,GBP,United Kingdom,Safetech Level 3 Award in Effective Auditing & Inspection Skills
Safetech Level 3 Award in Health and Safety,10.00,GBP,£,GBP,United Kingdom,Safetech Level 3 Award in Health and Safety
Safetech Level 3 Award in Health & Safety at WorkPlace,10.00,GBP,£,GBP,United Kingdom,Safetech Level 3 Award in Health & Safety at WorkPlace
Safetech Level 3 Diploma in Process Safety Management (PSM),18.00,GBP,£,GBP,United Kingdom,Safetech Level 3 Diploma in Process Safety Management (PSM)
Safetech Level 3 Diploma In Oil and Gas industry,18.00,GBP,£,GBP,United Kingdom,Safetech Level 3 Diploma In Oil and Gas industry
Safetech Level 3 Diploma in Industrial Safety,23.00,GBP,£,GBP,United Kingdom,Safetech Level 3 Diploma in Industrial Safety
Safetech Level 4 Award in Health and Safety at WorkPlace,18.00,GBP,£,GBP,United Kingdom,Safetech Level 4 Award in Health and Safety at WorkPlace
HSE Supervisor in Construction and Oil &Gas,18.00,GBP,£,GBP,United Kingdom,HSE Supervisor in Construction and Oil &Gas
HSE Management System Developer,13.00,GBP,£,GBP,United Kingdom,HSE Management System Developer
Practical HSE Management System,13.00,GBP,£,GBP,United Kingdom,Practical HSE Management System
Comprehensive HSE Management Systems,13.00,GBP,£,GBP,United Kingdom,Comprehensive HSE Management Systems
Office Safety and Ergonomics,7.00,GBP,£,GBP,United Kingdom,Office Safety and Ergonomics
HSE Awareness,7.00,GBP,£,GBP,United Kingdom,HSE Awareness
"Health, Safety and Environment Plan",12.00,GBP,£,GBP,United Kingdom,"Health, Safety and Environment Plan"
"Health, Safety and Environment KPIs",12.00,GBP,£,GBP,United Kingdom,"Health, Safety and Environment KPIs"
HSE Supervisor,8.00,GBP,£,GBP,United Kingdom,HSE Supervisor
Occupational Safety and Health Supervisor,12.00,GBP,£,GBP,United Kingdom,Occupational Safety and Health Supervisor
Award in Equipment Safety Supervisor,8.00,GBP,£,GBP,United Kingdom,Award in Equipment Safety Supervisor
"Safetech Qualification in  HSE Manager (Health, Safety & Environment)",10.00,GBP,£,GBP,United Kingdom,"Safetech Qualification in  HSE Manager (Health, Safety & Environment)"
"Safetech Qualification in  HSE Inspector (Health, Safety & Environment)",10.00,GBP,£,GBP,United Kingdom,"Safetech Qualification in  HSE Inspector (Health, Safety & Environment)"
Safetech Qualification in  Health & Safety for Workers,7.00,GBP,£,GBP,United Kingdom,Safetech Qualification in  Health & Safety for Workers
Safetech Qualification in  workplace Health & Safety for supervision,7.00,GBP,£,GBP,United Kingdom,Safetech Qualification in  workplace Health & Safety for supervision
Fire Safety ,15.00,GBP,£,GBP,United Kingdom,Fire Safety 
"Basic First Aid, CPR & AED",15.00,GBP,£,GBP,United Kingdom,"Basic First Aid, CPR & AED"
Emergency Response & Evacuation Planning,15.00,GBP,£,GBP,United Kingdom,Emergency Response & Evacuation Planning
School Bus Safety (for Drivers & Attendants),15.00,GBP,£,GBP,United Kingdom,School Bus Safety (for Drivers & Attendants)
Playground & Physical Education Safety,15.00,GBP,£,GBP,United Kingdom,Playground & Physical Education Safety
Anti-Bullying & Cyber-Safety Awareness,15.00,GBP,£,GBP,United Kingdom,Anti-Bullying & Cyber-Safety Awareness
Laboratory & Science Room Safety,15.00,GBP,£,GBP,United Kingdom,Laboratory & Science Room Safety
Water Safety & Pool Supervision,15.00,GBP,£,GBP,United Kingdom,Water Safety & Pool Supervision
HACCP Awareness for School Kitchens,15.00,GBP,£,GBP,United Kingdom,HACCP Awareness for School Kitchens
Chemical & Hazardous Materials Management (HazMat),15.00,GBP,£,GBP,United Kingdom,Chemical & Hazardous Materials Management (HazMat)
Facility & Building Maintenance Safety,15.00,GBP,£,GBP,United Kingdom,Facility & Building Maintenance Safety
Security Guard Fundamental Training,15.00,GBP,£,GBP,United Kingdom,Security Guard Fundamental Training
Crisis Management & Lockdown Procedures,15.00,GBP,£,GBP,United Kingdom,Crisis Management & Lockdown Procedures
Infection Control & Hygiene (Post-Pandemic Protocols),15.00,GBP,£,GBP,United Kingdom,Infection Control & Hygiene (Post-Pandemic Protocols)
Ergonomics for Teachers & Students,15.00,GBP,£,GBP,United Kingdom,Ergonomics for Teachers & Students
Mental Health First Aid,15.00,GBP,£,GBP,United Kingdom,Mental Health First Aid
Indoor Air Quality Awareness,15.00,GBP,£,GBP,United Kingdom,Indoor Air Quality Awareness
Level 2 Certificate in Spectator Safety (Standard for stewards and event marshals),15.00,GBP,£,GBP,United Kingdom,Level 2 Certificate in Spectator Safety (Standard for stewards and event marshals)
Level 3 Certificate in Spectator Safety Supervision (For team leaders and supervisors),15.00,GBP,£,GBP,United Kingdom,Level 3 Certificate in Spectator Safety Supervision (For team leaders and supervisors)
Applied Crowd Science / Crowd Risk Analysis,15.00,GBP,£,GBP,United Kingdom,Applied Crowd Science / Crowd Risk Analysis
Level 2 stewards and event marshals,15.00,GBP,£,GBP,United Kingdom,Level 2 stewards and event marshals
Level 3 in Spectator Safety Management (For venue and event managers),15.00,GBP,£,GBP,United Kingdom,Level 3 in Spectator Safety Management (For venue and event managers)
Level 3 in traffic control management ,15.00,GBP,£,GBP,United Kingdom,Level 3 in traffic control management 
Conflict Resolution & De-escalation Training,15.00,GBP,£,GBP,United Kingdom,Conflict Resolution & De-escalation Training
Physical Intervention Training,15.00,GBP,£,GBP,United Kingdom,Physical Intervention Training
Major Incident Planning & Emergency Procedures,15.00,GBP,£,GBP,United Kingdom,Major Incident Planning & Emergency Procedures
Fire Marshal / Fire Safety Training,15.00,GBP,£,GBP,United Kingdom,Fire Marshal / Fire Safety Training
Weather Safety for Live Events,15.00,GBP,£,GBP,United Kingdom,Weather Safety for Live Events
Safeguarding Children and Vulnerable Adults,15.00,GBP,£,GBP,United Kingdom,Safeguarding Children and Vulnerable Adults
Occupational Safety in Petrol Stations ,15.00,GBP,£,GBP,United Kingdom,Occupational Safety in Petrol Stations 
Fire Prevention and Firefighting ,15.00,GBP,£,GBP,United Kingdom,Fire Prevention and Firefighting 
Emergency Response and Evacuation Planning.,15.00,GBP,£,GBP,United Kingdom,Emergency Response and Evacuation Planning.
Safe Handling of Hazardous Materials ,15.00,GBP,£,GBP,United Kingdom,Safe Handling of Hazardous Materials 
Hazardous Communication (HazCom) and Chemical Labeling.,15.00,GBP,£,GBP,United Kingdom,Hazardous Communication (HazCom) and Chemical Labeling.
Spill Containment and Environmental Protection ,15.00,GBP,£,GBP,United Kingdom,Spill Containment and Environmental Protection 
Explosion-Proof Electrical Safety (ATEX/IECEx standards for fuel zones).,15.00,GBP,£,GBP,United Kingdom,Explosion-Proof Electrical Safety (ATEX/IECEx standards for fuel zones).
Lockout/Tagout (LOTO) for pump maintenance.,15.00,GBP,£,GBP,United Kingdom,Lockout/Tagout (LOTO) for pump maintenance.
Static Electricity Management and Grounding.,15.00,GBP,£,GBP,United Kingdom,Static Electricity Management and Grounding.
Fuel Station Operational Safety Management.,15.00,GBP,£,GBP,United Kingdom,Fuel Station Operational Safety Management.
Risk Assessment and Hazard Identification ,15.00,GBP,£,GBP,United Kingdom,Risk Assessment and Hazard Identification 
Incident Investigation and Reporting.,15.00,GBP,£,GBP,United Kingdom,Incident Investigation and Reporting.
First Aid and CPR ,15.00,GBP,£,GBP,United Kingdom,First Aid and CPR 
Heat Stress Management ,15.00,GBP,£,GBP,United Kingdom,Heat Stress Management 
Customer Service Safety ,15.00,GBP,£,GBP,United Kingdom,Customer Service Safety 
Basic Food Safety Level 2,15.00,GBP,£,GBP,United Kingdom,Basic Food Safety Level 2
HACCP Hazard Analysis and Critical Control Points ,15.00,GBP,£,GBP,United Kingdom,HACCP Hazard Analysis and Critical Control Points 
Food Safety Management (ISO 22000) – For large-scale operations and high-end restaurants.,15.00,GBP,£,GBP,United Kingdom,Food Safety Management (ISO 22000) – For large-scale operations and high-end restaurants.
Allergen Awareness and Management.,15.00,GBP,£,GBP,United Kingdom,Allergen Awareness and Management.
General Occupational Safety and Health ,15.00,GBP,£,GBP,United Kingdom,General Occupational Safety and Health 
Manual Handling and Ergonomics ,15.00,GBP,£,GBP,United Kingdom,Manual Handling and Ergonomics 
Chemical Safety (COSHH) ,15.00,GBP,£,GBP,United Kingdom,Chemical Safety (COSHH) 
Heat Stress Prevention ,15.00,GBP,£,GBP,United Kingdom,Heat Stress Prevention 
"Slips, Trips, and Falls Prevention.",15.00,GBP,£,GBP,United Kingdom,"Slips, Trips, and Falls Prevention."
Basic Fire Safety and Extinguisher Training.,15.00,GBP,£,GBP,United Kingdom,Basic Fire Safety and Extinguisher Training.
Fire Warden/Marshal Training ,15.00,GBP,£,GBP,United Kingdom,Fire Warden/Marshal Training 
Emergency Response and Evacuation Procedures.,15.00,GBP,£,GBP,United Kingdom,Emergency Response and Evacuation Procedures.
Safety of Gas and Kitchen Appliances ,15.00,GBP,£,GBP,United Kingdom,Safety of Gas and Kitchen Appliances 
First Aid at Work.,15.00,GBP,£,GBP,United Kingdom,First Aid at Work.
CPR and AED ,15.00,GBP,£,GBP,United Kingdom,CPR and AED 
Choking Response ,15.00,GBP,£,GBP,United Kingdom,Choking Response 
